0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
0.666,ArrowR,300,192,,,,,
0.4666,ArrowD,300,232,,,,,
0.0666,ArrowR,300,192,,,,,
0.4666,ArrowD,300,232,,,,,
0.0666,ArrowR,300,192,,,,,
0.4666,ArrowD,300,232,,,,,
0.0666,ArrowR,300,192,,,,,
0.4666,ArrowD,300,232,,,,,
0.0666,RArrowR,0.8666,192,,,,,
0.4666,RArrowD,0.7333,232,,,,,
0.0666,RArrowR,0.8666,192,,,,,
0.4666,RArrowD,0.7333,232,,,,,  
0.0666,RArrowR,0.8666,192,,,,,
0.4666,RArrowD,0.7333,232,,,,,  
1.1333,UndyneHeartSwing,0,,,,,
.8,SetOpacity,0,,,,,,
1,EndAttack,,,,,,
