0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
0.5666,RArrowL,0.4333,0.1,,,,,
0.4333,RArrowD,0.4000,0.1,,,,,
0.2333,RArrowR,0.4333,0.1,,,,,
0.4333,RArrowU,0.4000,0.1,,,,,
0.5,ArrowD,0.5,308,,,,,
0.2666,ArrowR,0.5,254,,,,,
0.5,ArrowU,0.5,308,,,,,
0.2666,ArrowL,0.5,254,,,,,
0.5666,RArrowU,0.4000,0.1,,,,,
0.2333,RArrowR,0.4333,0.1,,,,,
0.3666,RArrowL,0.4333,0.1,,,,,
0.4333,RArrowD,0.4000,0.1,,,,,
1,SetOpacity,0,,,,,,
1,EndAttack,,,,,,
