0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,

0.5,TArrowR,0.8,,,,,,
0.3333,RArrowR,0.8,0.1,,,,,

0.7666,TArrowU,0.666,,,,,,
0.3000,RArrowU,0.666,0.1,,,,,

0.5,TArrowL,0.8,,,,,,
0.3333,RArrowL,0.8,0.1,,,,,

0.7666,TArrowD,0.666,,,,,,
0.3000,RArrowD,0.666,0.1,,,,,

0.5,TArrowR,0.8,,,,,,
0.3333,RArrowR,0.8,0.1,,,,,

0.7666,TArrowU,0.666,,,,,,
0.3000,RArrowU,0.666,0.1,,,,,

0.5,TArrowL,0.8,,,,,,
0.3333,RArrowL,0.8,0.1,,,,,

0.75,SetOpacity,0,,,,,,
0.75,EndAttack,,,,,,
