0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
0.5666,RArrowR,0.333,950,,,,,
0.5,RArrowR,0.333,500,,,,,
0.5,RArrowR,0.333,500,,,,,
0.5,RArrowD,0.333,500,,,,,
0.5,RArrowD,0.333,500,,,,,
0.5,RArrowD,0.333,500,,,,,
0.5,RArrowL,0.333,500,,,,,
0.5,RArrowL,0.333,500,,,,,
0.5,RArrowL,0.333,500,,,,,
0.5,RArrowU,0.333,500,,,,,
0.5,RArrowU,0.333,500,,,,,
0.5,RArrowU,0.333,500,,,,,
1,EndAttack,,,,,,,
