0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
0.75,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,

0.1666,ArrowR,300,415,,,,,
0.2333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,

0.1666,ArrowL,300,415,,,,,
0.2333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,

0.1666,ArrowR,300,415,,,,,
0.2333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,, 

0.1666,ArrowL,300,415,,,,,
0.2333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,,
0.1333,ArrowD,300,464,,,,, 
.8,SetOpacity,0,,,,,,
1,EndAttack,,,,,,
